Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
226,Edison International,"13,209",33,Public Utility Company,Our Companies Include One Of The Nation's Largest Electric Utilities And Providers Of Industrial And Commercial Energy Services Nationwide.,"$13,578",10.00%,$739.00,-42.40%,"$69,372","$22,229"
227,Guardian Life Ins. Co. of America,"8,871",11,Insurance Company,The Guardian Life Insurance Company Of America Is One Of The Largest Mutual Life Insurance Companies In The World.,"$13,562",0.60%,$23.50,-96.50%,"$85,425",-
228,Biogen,"9,100",-5,Biotechnology,"Biogen Inc. Is An American Multinational Biotechnology Company Based In Cambridge, Massachusetts, Specializing In The Discovery, Development, And Delivery Of Therapies For The Treatment Of Neurological Diseases To Patients Worldwide","$13,445",-6.50%,"$4,000.60",-32.10%,"$24,619","$42,616"
229,Omnicom Group,"64,100",-18,Media,"It Is A Global Leader In Marketing Communications, Omnicom Provides Brand And Advertising Services To Over 5000 Clients In Over 100 Countries","$13,171",-11.90%,$945.40,-29.40%,"$27,647","$15,946"
230,Unum Group,"10,500",36,Insurance Company,"Unum Group Is A Provider Of Financial Protection Benefits In The United States And The United Kingdom. The Company's Products Include Disability, Life, Accident, Critical Illness, Dental And Vision, And Other Related Services. ","$13,162",9.70%,$793.00,-27.90%,"$70,626","$5,670"
231,Lithia Motors,"14,538",21,Automotive Industry Company,"Lithia Motors, Inc. Is An American Nationwide Automotive Retailer.","$13,124",3.60%,$470.30,73.20%,"$7,902","$10,467"
232,American Family Insurance Group,"13,225",22,Insurance Company,"American Family Insurance, Also Abbreviated As Amfam, Is An American Private Mutual Company That Focuses On Property, Casualty, And Auto Insurance, And Also Offers Commercial Insurance, Life, Health, And Homeowners Coverage As Well As Investment And Retirement-planning Products.","$13,075",3.50%,$403.20,-11.60%,"$33,942",-
233,Discover Financial Services,"17,600",-2,Financial Services Company,"Discover Financial Services is an American financial services company that owns and operates Discover Bank, which offers checking and savings accounts, personal loans, home equity loans, student loans and credit cards.","$12,953",-7.40%,"$1,141.00",-61.40%,"$112,889","$29,100"
234,Adobe,"22,516",51,Computer Software Company,"Adobe Is Changing The World Through Digital Experiences. We Help Our Customers Create, Deliver And Optimise Content And Applications.","$12,868",15.20%,"$5,260.00",78.20%,"$24,284","$227,227"
235,Aramark,"209,325",-35,Food Service,"Aramark Corporation Is An American Food Service, Facilities, And Uniform Services Provider To Clients In Areas Including Education, Healthcare, Business, Prisons, And Leisure","$12,830",-20.90%,-$461.50,-202.90%,"$15,713","$9,595"
236,Otis Worldwide,"69,000",-,Transport Company,"Otis Worldwide Corporation is an American company that develops, manufactures and markets elevators, escalators, moving walkways, and related equipment.","$12,756",-,$906.00,-,"$10,710","$29,418"
237,Ecolab,"44,000",-24,Food Safety Company,"Ecolab Inc.  Is An American Corporation That Develops And Offers Services, Technology And Systems That Specialize In Water Treatment, Purification, Cleaning And Hygiene In A Wide Variety Of Applications.","$12,749",-14.50%,"-$1,205.10",-177.30%,"$18,126","$61,241"
238,AutoZone,"80,000",30,Automotive Parts,"Autozone, Inc. Is An American Retailer Of Aftermarket Automotive Parts And Accessories.","$12,632",6.50%,"$1,733.00",7.20%,"$14,424","$30,946"
239,Loews,"12,200",-27,Hospitality Company,Loews Hotels Is An American Luxury Hospitality Company That Owns Or Operates 28 Hotels In The United States And Canada. Loews' Hotels And Resorts Are Located In Major North American City Centers And Resort Destinations.,"$12,583",-15.70%,-$931.00,-199.90%,"$80,236","$13,698"
240,Illinois Tool Works,"43,000",-11,Manufactures,"Illinois Tool Works Inc. Designs And Manufactures Fasteners, Components, Equipment, Consumable Systems, And A Variety Of Specialty Products And Equipment.","$12,574",-10.90%,"$2,109.00",-16.30%,"$15,612","$70,107"
241,Fidelity National Information Services,"62,000",62,Information Technology Services,"Fidelity National Information Services, Inc. Operates As A Financial Services Technology Company In The United States And Internationally.","$12,552",21.50%,$158.00,-47.00%,"$83,842","$87,337"
242,Ross Stores,"93,700",-40,Retail Company,"Ross Dress for Less offers the best bargains on the latest trends in clothing, shoes, home decor and more.","$12,532",-21.90%,$85.40,-94.90%,"$12,718","$42,751"
243,Peter Kiewit Sons',"27,000",64,Construction Engineering Company,"Peter Kiewit Sons', Inc. Provides Construction Services. The Company Builds Transportation Systems, Tunnels, Office Buildings, Industrial Complexes, Education And Sports Facilities, Hotels And Hospitals, Factories, And Other Structure.","$12,463",21.20%,$826.00,97.10%,"$6,440",-
244,Equitable Holdings,"12,400",89,Financial Service,"Equitable Holdings, Inc Is An American Financial Services And Insurance Company That Was Founded In 1859 By Henry Baldwin Hyde.","$12,415",29.40%,-$648.00,-,"$275,397","$14,208"
245,WESCO International,"18,000",134,"Maintenance, Repair, And Operations Company","Wesco Distribution, A Multinational Electrical Distribution And Services Company Based In Pittsburgh.","$12,326",47.50%,$100.60,-55.00%,"$11,880","$4,341"
246,Goodyear Tire & Rubber,"62,000",-30,Automotive,"The Goodyear Tire & Rubber Company Is An American Multinational Tire Manufacturing Company. Goodyear Manufactures Tires For Automobiles, Commercial Trucks, Light Trucks, Motorcycles, Suvs, Race Cars, Airplanes, Farm Equipment And Heavy Earth-mover Machinery.","$12,321",-16.40%,"-$1,254.00",-,"$16,506","$4,099"
247,Fox,"9,000",33,Mass Media Company,"Fox Corporation Is An American Mass Media Company Headquartered In Midtown Manhattan, New York City.","$12,303",8.00%,$999.00,-37.40%,"$21,750","$21,022"
248,Leidos Holdings,"39,000",41,Engineering Company,"Leidos Holdings, Inc. Provides Scientific, Engineering, Systems Integration, And Technical Services And Solutions. The Company Provides Its Services In The Areas Of National Security, Engineering, And Health.","$12,297",10.80%,$628.00,-5.80%,"$12,511","$13,609"
249,Consolidated Edison,"14,071",7,Energy Company,"Consolidated Edison, Inc., Through Its Subsidiaries, Provides A Variety Of Energy Related Products And Services. ","$12,246",-2.60%,"$1,101.00",-18.00%,"$62,895","$25,613"
250,DTE Energy,"10,600",3,Electric Services Company,Dte Energy Is A Detroit-based Diversified Energy Company Involved In The Development And Management Of Energy-related Businesses And Services In The United States And Canada,"$12,177",-3.90%,"$1,368.00",17.00%,"$45,496","$25,793"
251,Charles Schwab,"32,000",20,Financial Services Company,"The Charles Schwab Corporation Provides A Full Range Of Brokerage, Banking And Financial Advisory Services Through Its Operating Subsidiaries.","$12,109",2.70%,"$3,299.00",-10.90%,"$549,009","$122,691"
252,State Street,"39,439",-8,Financial Services Company,State Street Corporation Is An American Financial Services And Bank Holding Company.,"$12,078",-8.00%,"$2,420.00",7.90%,"$314,706","$29,554"
253,Ameriprise Financial,"12,300",-8,Financial Services Company,"Ameriprise Financial, Inc. Is A Diversified Financial Services Company And Bank Holding Company.","$11,958",-8.70%,"$1,534.00",-19.00%,"$165,883","$27,104"
254,Viatris,"45,000",-,Healthcare Company,"Viatris is a global pharmaceutical company that believes in healthcare not as it is, but as it should be. ","$11,946",-,-$669.90,-,"$61,553","$16,863"
255,Sempra Energy,"14,706",3,Utilities,"Sempra Energy Is A North American Energy Infrastructure Company Based In San Diego, California. Sempra Energy's Focus Is On Electric And Natural Gas Infrastructure.","$11,940",-4.00%,"$3,932.00",79.00%,"$66,623","$40,133"
256,Farmers Insurance Exchange,"10,004",-1,Insurance Company,"Farmers Insurance Exchange Provides Property/casualty Insurance Products, Including Homeowners, Automobile, And Commercial Coverage Across The Us.","$11,870",-5.70%,-$116.40,-310.50%,"$17,853",-
257,L Brands,"57,350",-9,Retailing,"L Brands, Inc Is An American Fashion Retailer Based In Columbus, Ohio. ","$11,847",-8.30%,$844.50,-,"$11,571","$17,248"
258,W.W. Grainger,"22,450",20,Industrial Supply Distribution,"W.w. Grainger, Inc. Distributes Maintenance, Repair, And Operating Supplies, And Related Information To The Commercial, Industrial, Contractor, And Institutional Markets In North America.","$11,797",2.70%,$695.00,-18.10%,"$6,295","$20,985"
259,Community Health Systems,"62,500",-18,Hospitals Company,"Chs/community Health Systems, Inc. Operates As A Hospital. The Hospital Offers Diagnostic, Medical, And Surgical Services.","$11,789",-10.80%,$511.00,-,"$16,006","$1,752"
260,Ball,"21,500",19,Aerospace Company,"Ball Corporation Is The World's Leading Provider Of Innovative, Sustainable Aluminum Packaging For Beverage, Personal Care And Household Products.","$11,781",2.70%,$585.00,3.40%,"$18,252","$27,801"
261,Berry Global Group,"47,000",97,Plastics Company,Global Manufacturer And Marketer Of Plastic Packaging Products.,"$11,709",31.90%,$559.00,38.40%,"$16,701","$8,221"
262,Kinder Morgan,"10,524",-20,Oil And Gas,"Kinder Morgan, Inc. Is One Of The Largest Energy Infrastructure Companies In North America","$11,700",-11.40%,$119.00,-94.60%,"$71,973","$37,703"
263,VF,"48,000",-30,Apparel Company,Vf Corporation Outfits Consumers Around The World With Its Diverse Portfolio Of Iconic Outdoor And Activity-based Lifestyle And Workwear Brands.,"$11,688",-15.70%,$679.40,-46.10%,"$11,133","$31,306"
264,Baxter International,"50,000",18,Health Care Company,"Baxter International Inc. Is An American Multinational Health Care Company With Headquarters In Deerfield, Illinois. The Company Primarily Focuses On Products To Treat Hemophilia, Kidney Disease, Immune Disorders And Other Chronic And Acute Medical Conditions.","$11,673",2.70%,"$1,102.00",10.10%,"$20,019","$42,657"
265,Textron,"33,000",-29,Laboratory Equipment,"American Provisioner Of Scientific Instrumentation, Reagents And Consumables, And Software And Services To Healthcare, Life Science, And Other Laboratories In Academia, Government, And Industry.","$11,651",-14.50%,$309.00,-62.10%,"$15,443","$12,726"
266,LKQ,"44,000",-9,Auto Parts,Lkq Corporation Is An American Provider Of Alternative And Speciality Parts To Repair And Accessorise Automobiles And Other Vehicles.,"$11,629",-7.00%,$638.40,18.00%,"$12,361","$12,801"
267,Keurig Dr Pepper,"27,000",21,Drink Company,"Keurig Dr Pepper - A Leading Producer And Distributer Of Hot And Cold Beverages To Satisfy Every Consumer Need, Anytime And Anywhere.","$11,618",4.50%,"$1,325.00",5.70%,"$49,779","$48,368"
268,O'Reilly Automotive,"70,179",46,Retail Company,"O'reilly Automotive, Inc. Is A Specialty Retailer Of Automotive Aftermarket Parts, Tools, Supplies, Equipment And Accessories.","$11,605",14.30%,"$1,752.30",26.00%,"$11,597","$35,461"
269,Crown Holdings,"33,264",3,Packaging,"Crown Holdings, Inc. Engages In The Design, Manufacture, And Sale Of Packaging Products And Equipment For Consumer Goods.","$11,575",-0.80%,$579.00,13.50%,"$16,670","$13,092"
270,Universal Health Services,"78,550",11,Hospitals Company,"Universal Health Services, Inc. (uhs) Is One Of The Largest And Most Respected Providers Of Hospital And Healthcare Services .","$11,559",1.60%,$944.00,15.80%,"$13,477","$11,351"
271,DaVita,"67,000",-41,Healthcare Company,Davita Inc. Is A Fortune 500® Health Care Provider Focused On Transforming Care Delivery To Improve Quality Of Life For Patients Around The Globe.,"$11,551",-18.10%,$773.60,-4.60%,"$16,989","$11,790"
272,Xcel Energy,"11,367",4,Electric Services Company,Xcel Energy Provides The Energy That Powers Millions Of Homes And Businesses Across Eight Western And Midwestern States.,"$11,526",-,"$1,473.00",7.40%,"$53,957","$35,759"
273,Newmont,"14,300",55,Gold Mining Company,It  Is The World's Largest Gold Mining Company.,"$11,497",18.00%,"$2,829.00",0.90%,"$41,369","$48,283"
274,Vistra,"5,365",-4,Electricity Retailer,"Vistra Energy, It Is One Of The Largest Retail Electricity Providers In Texas.","$11,443",-3.10%,$636.00,-31.50%,"$25,208","$8,512"
275,IQVIA Holdings,"70,000",15,Contract Research Organization,"Iqvia, Formerly Quintiles And Ims Health, Inc., Is An American Multinational Company Serving The Combined Industries Of Health Information Technology And Clinical Research.","$11,359",2.40%,$279.00,46.10%,"$24,564","$37,034"
276,eBay,"12,700",19,E-commerce Company,Ebay's Focus In India Is On The B2c Ecommerce Retail Export. Indian Sellers Get Huge Benefits By Selling Their Products To Other Countries On Ebay.,"$11,351",5.10%,"$5,667.00",217.30%,"$19,310","$41,671"
277,Corning,"50,110",-,Technology Company,"Corning Incorporated Is An American Multinational Technology Company That Specializes In Specialty Glass, Ceramics, And Related Materials And Technologies Including Advanced Optics, Primarily For Industrial And Scientific Applications.","$11,303",-1.70%,$512.00,-46.70%,"$30,775","$33,466"
278,Quanta Services,"35,800",-17,Corporation,"Quanta Services Is An American Corporation That Provides Infrastructure Services For Electric Power, Pipeline, Industrial And Communications Industries.","$11,203",-7.50%,$445.60,10.80%,"$8,398","$12,173"
279,HollyFrontier,"3,891",-95,Petroleum Refining,"Hollyfrontier Is A Petroleum Refiner And Distributor Of Petroleum Products, From Gasoline To Petroleum-based Lubricants And Waxes. ","$11,184",-36.00%,-$601.40,-177.90%,"$11,507","$5,811"
280,Bed Bath & Beyond,"55,000",-15,Retail-store Company,Bed Bath & Beyond Inc. Is An American Chain Of Domestic Merchandise Retail Stores.,"$11,159",-7.20%,-$613.80,-,"$7,791","$3,533"
281,Uber Technologies,"22,800",-53,Transport Company,"Uber, Is An American Company That Offers Vehicles For Hire, Food Delivery (uber Eats), Package Delivery, Couriers, Freight Transportation, And, Through A Partnership With Lime, Electric Bicycle And Motorized Scooter Rental.","$11,139",-21.30%,"-$6,768.00",-,"$33,252","$101,438"
282,Mutual of Omaha Insurance,"5,526",18,Insurance Company,Mutual Of Omaha Insurance Company Provides Insurance Services.,"$11,098",6.10%,$698.10,157.20%,"$47,294",-
283,Conagra Brands,"16,500",51,Food Company,Conagra Combines A Rich Heritage Of Great Food With A Sharpened Focus On Innovation,"$11,054",15.90%,$840.10,23.90%,"$22,304","$18,371"
284,PulteGroup,"5,249",25,Home Construction Company,"Pultegroup Inc. Sells And Constructs Homes, And Purchases, Develops, And Sells Residential Land And Develops Active Adult Communities. ","$11,036",8.10%,"$1,406.80",38.40%,"$12,206","$13,869"
285,EOG Resources,"2,900",-99,Energy Company,"Eog Resources, Inc. Is An American Energy Company Engaged In Hydrocarbon Exploration.","$11,032",-36.50%,-$604.60,-122.10%,"$35,805","$42,332"
286,Group 1 Automotive,"12,337",-22,Car Dealership Company,"Group 1 Automotive. Finance Deals, Aftersales, Servicing & Motability. Dealerships All Over The Uk.","$10,852",-9.90%,$286.50,64.70%,"$5,089","$2,855"
287,Ally Financial,"9,500",-14,Financial Services Company,"The Company Provides Financial Services Including Car Finance, Online Banking Via A Direct Bank, Corporate Lending, Vehicle Insurance, Mortgage Loans, And An Electronic Trading Platform To Trade Financial Assets.","$10,780",-7.20%,"$1,085.00",-36.70%,"$182,165","$16,876"
288,Fidelity National Financial,"27,058",87,Insurance Company,"Fidelity National Financial, Inc. Is A Provider Of Title Insurance, Mortgage Services And Diversified Services.","$10,778",27.30%,"$1,427.00",34.40%,"$50,455","$11,839"
289,Nordstrom,"62,000",-84,Luxury Department Store,"It Is An American Luxury Department Store Chain. It Originated As A Shoe Store And Evolved Into A Full-line Retailer With Departments For Clothing, Footwear, Handbags, Jewelry, Accessories, Cosmetics, And Fragrances","$10,715",-31.00%,-$690.00,-239.10%,"$9,538","$5,975"
290,Discovery,"9,800",-3,Television Network,"Discovery Channel Is An American Multinational Pay Television Network And Flagship Channel Owned By Discovery, Inc., ","$10,671",-4.20%,"$1,219.00",-41.10%,"$34,087","$19,356"
291,Tractor Supply,"32,000",89,Retail Chain Company,"Tractor Supply Company Is An American Retail Chain Of Stores That Offers Products For Home Improvement, Agriculture, Lawn And Garden Maintenance, Livestock, Equine And Pet Care.","$10,620",27.20%,$749.00,33.20%,"$7,049","$20,577"
292,CSX,"19,282",-25,Railroad,"Csx Corporation Is An American Holding Company Focused On Rail Transportation And Real Estate In North America, Among Other Industries.","$10,583",-11.30%,"$2,765.00",-17.00%,"$39,793","$73,231"
293,Marriott International,"121,000",-136,Hospitality Company,"Marriott International, Inc. Is An American Multinational Diversified Hospitality Company That Manages And Franchises A Broad Portfolio Of Hotels And Related Lodging Facilities.","$10,571",-49.60%,-$267.00,-121.00%,"$24,701","$48,220"
294,FirstEnergy,"12,153",-,Electric Services Company,"Firstenergy Corp Is An Electric Utility Headquartered In Akron, Ohio. Its Subsidiaries And Affiliates Are Involved In The Distribution, Transmission, And Generation Of Electricity, As Well As Energy Management And Other Energy-related Services.","$10,435",-3.80%,"$1,079.00",18.30%,"$44,464","$18,872"
295,BorgWarner,"49,700",17,Automotive Industry Company,"Borgwarner, Inc. Engages In The Provision Of Technology Solutions For Combustion, Hybrid And Electric Vehicles.","$10,165",-,$500.00,-33.00%,"$16,029","$11,081"
295,Jones Financial (Edward Jones),"50,000",41,Financial Services Company,"Edward D. Jones & Co., L.p., Simplified As Edward Jones, Is A Financial Services Firm Headquartered In St. Louis, Missouri, United States.","$10,165",6.70%,"$1,285.00",17.70%,"$28,320",-
297,Republic Services,"35,000",8,Solid Waste Collection Company,"Republic Services, Inc Is The Second Largest Provider Of Non-hazardous Solid Waste Collection, Transfer, Disposal, Recycling, And Energy Services In The United States, As Measured By Revenue.","$10,154",-1.40%,$967.20,-9.90%,"$23,434","$31,683"
298,Henry Schein,"19,000",6,Medical Device,"Henry Schein Is A Worldwide Distributor Of Medical And Dental Supplies Including Vaccines, Pharmaceuticals, Financial Services And Equipment.","$10,119",-1.80%,$403.80,-41.90%,"$7,773","$9,851"
299,Expeditors Intl. of Washington,"17,480",90,Logistics Company,"The Company Provides Air And Ocean Freight Forwarding, Vendor Consolidation, Customs Clearance, Marine Insurance, Distribution, And Other International Logistics Services.
","$10,117",23.70%,$696.10,17.90%,"$4,928","$18,167"
300,Entergy,"13,400",-7,Energy Industry,Entergy Corporation Is A Fortune 500 Integrated Energy Company Engaged Primarily In Electric Power Production And Retail Distribution Operations In The Deep South Of The United States.,"$10,114",-7.00%,"$1,388.30",11.90%,"$58,239","$20,000"
301,Advance Auto Parts,"54,000",29,Automotive,It Is An American Automotive Aftermarket Parts Provider.,"$10,106",4.10%,$493.00,1.30%,"$11,840","$12,006"
302,Assurant,"13,850",13,Insurance Company,"Assurant, Inc. Is A Global Provider Of Risk Management Products And Services With Headquarters In New York City.","$10,095",0.10%,$441.80,15.50%,"$44,650","$8,209"
303,Pacific Life,"4,083",-34,Insurance Company,"Pacific Life Insurance Company Is An American Insurance Company Providing Life Insurance Products, Annuities, And Mutual Funds, And Offers A Variety Of Investment Products And Services To Individuals, Businesses, And Pension Plans.","$10,062",-15.10%,-$671.00,-192.60%,"$190,672",-
304,Lam Research,"11,300",27,Semiconductor Company,"Lam Research Corporation Is An American Corporation That Engages In The Design, Manufacture, Marketing, And Service Of Semiconductor Processing Equipment Used In The Fabrication Of Integrated Circuits.","$10,045",4.10%,"$2,251.80",2.80%,"$14,559","$85,065"
305,Boston Scientific,"38,000",-9,Medical Device,"Boston Scientific Corp. Engages In The Development, Manufacture And Marketing Of Medical Devices That Are Used In Interventional Medical Specialties.","$9,913",-7.70%,-$82.00,-101.70%,"$30,777","$54,903"
306,Altice USA,"8,900",21,Cable Television Company,Altice Usa Is One Of The Largest Broadband Communications And Video Services Providers In The United States.,"$9,895",1.40%,$436.20,213.90%,"$33,377","$15,394"
307,Norfolk Southern,"20,156",-24,Transport Company,"The Norfolk Southern Railway (reporting Mark Ns) Is A Class I Freight Railroad In The United States, And Is The Current Name Of The Former Southern Railway.","$9,789",-13.30%,"$2,013.00",-26.00%,"$37,962","$67,418"
308,Sonic Automotive,"8,100",-7,Automotive,It Is The Fifth Largest Automotive Retailer In The United States.,"$9,767",-6.60%,-$51.40,-135.70%,"$3,746","$2,038"
309,Advanced Micro Devices,"12,600",139,Semiconductor Company,"Advanced Micro Devices, Inc. Engages In The Provision Of Semiconductor Businesses. It Operates Through The Following Segments: Computing & Graphics, And Enterprise, Embedded And Semi-custom.","$9,763",45.00%,"$2,490.00",630.20%,"$8,962","$95,347"
310,United States Steel,"23,350",-63,Steel Producer,United States Steel Corporationis An American Integrated Steel Producer With Production Operations In The United States And Central Europe,"$9,741",-24.70%,"-$1,165.00",-,"$12,059","$7,034"
311,Markel,"18,900",24,Insurance Company,"Markel Corporation Is A Holding Company For Insurance, Reinsurance, And Investment Operations Around The World.","$9,735",2.20%,$816.00,-54.40%,"$41,710","$15,700"
312,ODP,"37,000",-15,Retail Company,The Odp Corporation Is An American Office Supply Retailing Company Headquartered In Boca Raton.,"$9,710",-8.80%,-$319.00,-422.20%,"$5,558","$2,317"
313,AES,"8,162",-3,Environmental Services,The More Popular And Widely Adopted Symmetric Encryption Algorithm Likely To Be Encountered Nowadays Is The Advanced Encryption Standard (aes).,"$9,660",-5.20%,$46.00,-84.80%,"$34,603","$18,180"
314,Molson Coors Beverage,"17,000",-16,Beverage Company,"The Molson Coors Beverage Company, Commonly Known As Molson Coors, Is A Multinational Drink And Brewing Company Headquartered In Chicago In The United States.","$9,654",-8.70%,-$949.00,-492.60%,"$27,331","$11,118"
315,J.B. Hunt Transport Services,"30,309",31,Transport Services,"The Company Offers Logistics Management, Trucking, Warehousing, Freight Forwarding, Brokerage, Cargo, Storage, Shipping, Supply Chain Management, And Distribution Services.","$9,637",5.10%,$506.00,-2.00%,"$5,928","$17,766"
316,KKR,"1,583",33,Private Equity Company,"Kkr & Co. Inc. Is An American Global Investment Company That Manages Multiple Alternative Asset Classes, Including Private Equity, Energy, Infrastructure, Real Estate, Credit, And, Through Its Strategic Partners, Hedge Funds. ","$9,630",5.60%,"$2,002.50",-0.10%,"$79,807","$42,353"
317,Hormel Foods,"19,100",20,Food Company,Hormel Foods Corporation Manufactures And Markets Consumer-branded Meat And Food Products.,"$9,609",1.20%,$908.10,-7.20%,"$9,908","$25,808"
318,Public Service Enterprise Group,"12,788",-1,Electric Services Company,"Public Service Enterprise Group Incorporated Is A Public Utility Holding Company. The Company, Through Its Subsidiaries, Generates, Transmits, And Distributes Electricity And Produces Natural Gas In The Northeastern And Mid Atlantic United States.","$9,603",-4.70%,"$1,905.00",12.50%,"$50,050","$30,412"
319,Steel Dynamics,"9,625",-20,Metals Industry,"Steel Dynamics, Inc., Sometimes Abbreviated As ""sdi"", Is A Steel Producer Based In Fort Wayne, Indiana. ","$9,602",-8.30%,$550.80,-17.90%,"$9,266","$10,722"
320,Dick's Sporting Goods,"33,450",42,Retail Company,"Dick's Sporting Goods, Inc. Is An American Sporting Goods Retail Company, Based In Coraopolis, Pennsylvania","$9,584",9.50%,$530.30,78.30%,"$7,753","$6,799"
321,Mohawk Industries,"42,000",-,Commercial Company,"Mohawk Industries, Inc. Designs, Manufactures, Sources, Distributes, And Markets Flooring For Residential And Commercial Applications.","$9,552",-4.20%,$515.60,-30.70%,"$14,328","$13,505"
322,Murphy USA,"7,400",-60,Corporation,Murphy Usa Is An American Corporation Operating A Chain Of Retail Gas Stations That Are Primarily Located In Proximity To Walmart Stores.,"$9,504",-21.50%,$386.10,149.40%,"$2,686","$3,901"
323,Square,"5,477",252,Pumps And Pumping Equipment,"It Is A World Leader In Sustainable Solutions That Ensure The Controlled And Measured Movements Of Life's Essential Elements. They  Have Operations In More Than 30 Countries And Sales To Customers Worldwide, Our 4,900 Employees Innovate To Design, Deliver And Service High-value Solutions That Make Life Safer, Healthier, And More Sustainable.

our Processing Products And Technologies Provide A Wide Range Of Essential Capabilities For Customers Across The Food, Beverage, And Industrial Markets. Our Unique Expertise Spans Generations And Engineering Disciplines, Allowing Us To Solve Complex Challenges And Create Scalable Solutions That Meet The Strategic Objectives Of The Companies That Nourish And Build Our World. ","$9,498",101.50%,$213.10,-43.20%,"$9,870","$103,220"
324,Quest Diagnostics,"44,500",86,Clinical Laboratory,"Quest Diagnostics Is An American Clinical Laboratory. It Operates In The United States, Puerto Rico, Mexico, And Brazil. Quest Also Maintains Collaborative Agreements With Various Hospitals And Clinics Across The Globe","$9,437",22.10%,"$1,431.00",66.80%,"$14,026","$17,128"
325,Newell Brands,"31,000",-9,Commercial Organization,"Newell Brands, Inc. Retails Consumer Products. The Company Offers Housewares, Home Furnishings, Office Supplies, Tools And Hardware, And Hair Accessories.","$9,385",-6.90%,-$770.00,-822.30%,"$14,700","$11,390"
326,Liberty Media,"7,047",-20,Insurance Company,The Third-largest Property And Casualty Insurer In The United States.,"$9,363",-9.00%,"-$1,421.00",-1440.60%,"$44,004","$14,919"
327,Huntington Ingalls Industries,"42,000",30,Shipbuilding Company,Huntington Ingalls Industries Is America's Largest Military Shipbuilding Company And A Provider Of Professional Services To Partners In Government And Industry.,"$9,361",5.20%,$696.00,26.80%,"$8,157","$8,296"
328,Cheniere Energy,"1,519",1,Energy Company,"Cheniere Energy, Inc., An Energy Infrastructure Company, Engages In The Liquefied Natural Gas (lng) Related Businesses In The United States. ","$9,358",-3.80%,-$85.00,-113.10%,"$35,697","$18,257"
329,SpartanNash,"14,400",41,Grocery Store Company,"The Most Progressive Wholesale Grocery Distributor And Retailer In The Midwest, Supporting Independent Grocers, And Military Commissaries And Exchanges.","$9,349",9.50%,$75.90,1222.10%,"$2,277",$709
330,Alcoa,"12,900",-28,Aluminum Company,"Alcoa (nyse: Aa) Is A Global Industry Leader In Bauxite, Alumina And Aluminum Products, With A Strong Portfolio Of Value-added Cast And Rolled Products And Substantial Energy Assets.","$9,286",-11.00%,-$170.00,-,"$14,860","$6,054"
331,AGCO,"21,426",19,Agricultural Machinery Company,Agco Corporation (agco) Is A Manufacturer And Distributor Of Agricultural Equipment And Related Replacement Parts Globally.,"$9,150",1.20%,$427.10,241.10%,"$8,504","$10,816"
332,Voya Financial,"5,970",21,Financial Services,"Voya Financial Is An American Financial, Retirement, Investment And Insurance Company Based In New York City.","$9,133",2.10%,-$206.00,-,"$180,518","$7,879"
333,NRG Energy,"4,104",-9,Nuclear Electric Power Generation Company,"Nrg Energy, Inc. Engages In The Production, Sale, And Distribution Of Energy And Energy Services.","$9,093",-7.90%,$510.00,-88.50%,"$14,902","$9,232"
334,Interpublic Group,"50,200",-26,Advertising Company,"The Interpublic Group Of Companies, Inc. Is An Organization Of Advertising Agencies And Marketing Service Companies.","$9,061",-11.40%,$351.10,-46.50%,"$18,043","$11,408"
335,Campbell Soup,"14,500",-13,Food Processing Company,"Campbell Soup Company, Doing Business As Campbell's, Is An American Processed Food And Snack Company.","$9,050",-8.70%,"$1,628.00",671.60%,"$12,372","$15,232"
336,Southwest Airlines,"56,537",-195,Airlines,Southwest Airlines Is A Major Low-cost Aviation Provider In The United States.,"$9,048",-59.70%,"-$3,074.00",-233.70%,"$34,588","$36,067"
337,News Corp.,"23,500",-19,Mass Media Company,The Original Incarnation Of News Corporation Was An American Multinational Mass Media Corporation Operated And Owned By Media Mogul Rupert Murdoch And Headquartered In New York City.,"$9,008",-10.60%,"-$1,269.00",-918.70%,"$14,261","$14,629"
338,Eversource Energy,"9,299",33,Electric Services Company,Eversource Energy. Eversource Energy Is A Public Utility Holding Company.,"$8,904",4.40%,"$1,205.20",32.60%,"$46,100","$29,728"
339,Alleghany,"10,407",12,Holding Company,Alleghany Corporation Provides Property And Casualty Reinsurance And Insurance Products In The United States And Internationally.,"$8,897",-1.60%,$101.80,-88.10%,"$28,927","$8,750"
340,Air Products & Chemicals,"19,138",15,Chemical Industry Company,"Air Products And Chemicals, Inc. Is An American International Corporation Whose Principal Business Is Selling Gases And Chemicals For Industrial Uses.","$8,856",-0.70%,"$1,886.70",7.20%,"$25,169","$62,254"
341,Auto-Owners Insurance,"6,329",-21,Insurance Company,"Auto-owners Insurance Is A Mutual Insurance Company That Offers Auto, Home, Business And Life Insurance To Policyholders Exclusively Through Independent Agents. ","$8,853",-11.50%,$829.40,-38.70%,"$29,756",-
342,CenterPoint Energy,"9,541",-82,Utilities Company,Centerpoint Energy Is An Energy Delivery Company Based In Houston.,"$8,835",-28.20%,-$773.00,-197.70%,"$33,471","$12,493"
